iter	Passed	Remaining
762	2667	828
763	2671	825
764	2675	821
765	2679	818
766	2682	814
767	2686	811
768	2690	808
769	2693	804
770	2698	801
771	2701	797
772	2705	794
773	2709	791
774	2713	787
775	2716	784
776	2720	780
777	2723	777
778	2726	773
779	2729	769
780	2731	766
781	2735	762
782	2738	758
783	2740	755
784	2743	751
785	2746	747
786	2749	744
787	2753	740
788	2756	737
789	2759	733
790	2763	730
791	2768	726
792	2771	723
793	2774	719
794	2778	716
795	2780	712
796	2783	709
797	2787	705
798	2790	702
799	2794	698
800	2796	694
801	2800	691
802	2803	687
803	2806	684
804	2808	680
805	2811	676
806	2815	673
807	2818	669
808	2822	666
809	2824	662
810	2827	658
811	2830	655
812	2834	651
813	2837	648
814	2841	645
815	2844	641
816	2847	637
817	2852	634
818	2855	631
819	2859	627
820	2862	624
821	2865	620
822	2868	616
823	2871	613
824	2873	609
825	2876	605
826	2879	602
827	2882	598
828	2884	595
829	2887	591
830	2889	587
831	2892	584
832	2895	580
833	2898	576
834	2901	573
835	2904	569
836	2907	566
837	2912	562
838	2916	559
839	2919	556
840	2922	552
841	2926	549
842	2930	545
843	2933	542
844	2937	538
845	2940	535
846	2943	531
847	2946	528
848	2950	524
849	2953	521
850	2957	517
851	2960	514
852	2963	510
853	2966	507
854	2969	503
855	2971	499
856	2973	496
857	2976	492
858	2980	489
859	2984	485
860	2988	482
861	2990	478
862	2993	475
863	2997	471
864	3000	468
865	3003	464
866	3007	461
867	3010	457
868	3013	454
869	3016	450
870	3019	447
871	3021	443
872	3024	439
873	3026	436
874	3030	432
875	3034	429
876	3037	426
877	3041	422
878	3044	419
879	3047	415
880	3052	412
881	3054	408
882	3057	405
883	3061	401
884	3064	398
885	3066	394
886	3069	391
887	3075	387
888	3078	384
889	3081	380
890	3084	377
891	3088	373
892	3092	370
893	3097	367
894	3101	363
895	3109	360
896	3118	358
897	3124	354
898	3134	352
899	3143	349
900	3154	346
901	3161	343
902	3166	340
903	3170	336
904	3175	333
905	3179	329
906	3186	326
907	3192	323
908	3202	320
909	3211	317
910	3214	314
911	3219	310
912	3230	307
913	3237	304
914	3243	301
915	3255	298
916	3259	295
917	3262	291
918	3273	288
919	3295	286
920	3301	283
921	3310	280
922	3321	277
923	3332	274
924	3337	270
925	3348	267
926	3369	265
927	3393	263
928	3409	260
929	3416	257
930	3420	253
931	3423	249
932	3427	246
933	3434	242
934	3439	239
935	3443	235
936	3448	231
937	3461	228
938	3467	225
939	3476	221
940	3487	218
941	3499	215
942	3507	212
943	3511	208
944	3513	204
945	3516	200
946	3520	197
947	3523	193
948	3526	189
949	3528	185
950	3530	181
951	3534	178
952	3538	174
953	3542	170
954	3546	167
955	3549	163
956	3553	159
957	3556	155
958	3560	152
959	3563	148
960	3566	144
961	3570	141
962	3572	137
963	3575	133
964	3577	129
965	3579	125
966	3583	122
967	3586	118
968	3589	114
969	3593	111
970	3596	107
971	3600	103
972	3603	99
973	3607	96
974	3611	92
975	3614	88
976	3618	85
977	3621	81
978	3624	77
979	3627	74
980	3630	70
981	3633	66
982	3637	62
983	3641	59
984	3644	55
985	3647	51
986	3650	48
987	3653	44
988	3656	40
989	3660	36
990	3664	33
991	3667	29
992	3669	25
993	3672	22
994	3674	18
995	3678	14
996	3682	11
997	3684	7
998	3687	3
999	3690	0
